"","x","meanr","lclr","uclr"
"1",0,1,1,1
"2",1,1,1,1
"3",2,1,1,1
"4",3,1.01509654012138,1.01080437223961,1.01940693379009
"5",4,1.03384301793576,1.02415793007975,1.04361969413378
"6",5,1.04898364907989,1.03489302434584,1.06326612524275
"7",6,1.06194426007697,1.04404765918542,1.08014763654591
"8",7,1.07345849047976,1.05215417926623,1.09519417732741
"9",8,1.08395317650621,1.05952149889707,1.1089482281209
"10",9,1.09369808020258,1.06634442556241,1.12175340533891
"11",10,1.10287417680737,1.07275340030025,1.13384068466071
"12",11,1.11160847040064,1.07883980696364,1.14537244870878
"13",12,1.1199932726318,1.08466996313627,1.15646691931386
"14",13,1.12809758282401,1.09029336670962,1.16721260096624
"15",14,1.13597415764419,1.09574781227354,1.17767726513451
"16",15,1.14366409061784,1.10106270154933,1.18791377668889
"17",16,1.15119988406701,1.10626126175102,1.19796400624048
"18",17,1.15860757178846,1.11136207704186,1.20786153597987
"19",18,1.16590822371564,1.11638017321053,1.21763357926585
"20",19,1.1731190364694,1.12132780323699,1.22730237291372
"21",20,1.18025413938222,1.12621502750929,1.23688620689923
"22",21,1.18732520067492,1.13105014990979,1.24640019920441
"23",22,1.19434189049501,1.1358400507364,1.2558568880067
"24",23,1.2013122396325,1.1405904444778,1.26526669066703
"25",24,1.20824292100362,1.14530608198447,1.27463826405766
"26",25,1.21513947314438,1.14999091090687,1.28397879077949
"27",26,1.22200647959957,1.1546482044043,1.29329420899568
"28",27,1.22884771437236,1.15928066544386,1.30258939886659
"29",28,1.23566626097475,1.16389051211573,1.31186833522318
"30",29,1.24246461073933,1.16847954803626,1.32113421371731
"31",30,1.24924474468864,1.17304922092769,1.3303895559455
"32",31,1.25600820225638,1.17760067174205,1.33963629776264
"33",32,1.26275613940991,1.1821347761607,1.34887586405009
"34",33,1.26948937816425,1.18665217989891,1.35810923248728
"35",34,1.2762084490536,1.19115332893999,1.36733698833312
"36",35,1.28291362780175,1.19563849559032,1.37655937180813
"37",36,1.28960496718232,1.20010780106653,1.38577631934677
"38",37,1.29628232486467,1.20456123518656,1.39498749973994
"39",38,1.30294538788855,1.20899867362638,1.40419234599152
"40",39,1.30959369429033,1.21341989311809,1.41339008355791
"41",40,1.31622665230728,1.21782458489614,1.42257975551689
"42",41,1.3228435575105,1.22221236664404,1.43176024511351
"43",42,1.32944360815529,1.22658279314955,1.44093029605174
"44",43,1.33602591898813,1.23093536584126,1.45008853083701
"45",44,1.34258953370936,1.23526954135025,1.4592334674225
"46",45,1.34913343625771,1.23958473921742,1.46836353437012
"47",46,1.35565656105602,1.2438803488477,1.47747708470252
"48",47,1.36215780233549,1.24815573579667,1.48657240859383
"49",48,1.36863602263767,1.25241024746221,1.49564774502372
"50",49,1.37509006057838,1.25664321824289,1.50470129250001
"51",50,1.38151873794535,1.26085397421618,1.51373121893881
"52",51,1.38792086619113,1.26504183738198,1.52273567077853
"53",52,1.39429525237422,1.26920612951094,1.53171278139224
"54",53,1.40064070459413,1.27334617563179,1.54066067885473
"55",54,1.40695603696047,1.27746130718771,1.549577493112
"56",55,1.41324007413077,1.28155086488815,1.55846136259559
"57",56,1.41949165544796,1.28561420127945,1.56731044031801
"58",57,1.42570963870465,1.28965068305499,1.57612289948182
"59",58,1.43189290355882,1.29365969312367,1.58489693863106
"60",59,1.43804035462261,1.29764063245345,1.59363078637051
"61",60,1.44415092424439,1.30159292170531,1.60232270567626
"62",61,1.45022357500209,1.30551600267156,1.61097099781852
"63",62,1.4562573019247,1.30940933953146,1.61957400591617
"64",63,1.46225113445734,1.31327241993592,1.62813011814114
"65",64,1.46820413818451,1.31710475593247,1.63663777058949
"66",65,1.4741154163251,1.32090588474078,1.64509544983499
"67",66,1.47998411101191,1.32467536938848,1.65350169518052
"68",67,1.48580940436818,1.32841279921647,1.66185510062161
"69",68,1.49159051939241,1.33211779026238,1.67015431653615
"70",69,1.49732672066296,1.33578998553038,1.67839805111364
"71",70,1.50301731487298,1.33942905515528,1.68658507153714
"72",71,1.50866165120596,1.34303469646833,1.69471420493056
"73",72,1.51425912156196,1.3466066339719,1.70278433908373
"74",73,1.51980916064413,1.3501446192298,1.71079442296741
"75",74,1.52531124591466,1.35364843067994,1.71874346705007
"76",75,1.53076489742939,1.35711787337534,1.72663054342808
"77",76,1.5361696775596,1.36055277865972,1.73445478578068
"78",77,1.54152519060945,1.36395300378331,1.74221538916089
"79",78,1.54683108233727,1.36731843146425,1.74991160963316
"80",79,1.55208703938843,1.37064896940103,1.75754276376851
"81",80,1.55729278864746,1.37394454974076,1.76510822800744
"82",81,1.56244809651669,1.37720512850818,1.77260743790073
"83",82,1.56755276812841,1.38043068499991,1.78003988723795
"84",83,1.57260664649733,1.38362122114819,1.78740512707322
"85",84,1.57760961161977,1.38677676085825,1.79470276465751
